date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:53	21870/21870	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Apr%202018%2009:13:50%20GMT	https://inframatics.site123.me/	C:/My%20Web%20Sites/inframatics/inframatics.site123.me/index.html	(from )
11:13:53	90/90	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Apr%202018%2009:13:50%20GMT	https://inframatics.site123.me/robots.txt		(from )
11:13:54	1795/1795	---M-Z	200	added ('OK')	image/png	date:Mon,%2020%20Mar%202017%2001:54:27%20GMT	http://cdn-cms-s.f-static.com/files/logo/faviconV1.png	C:/My%20Web%20Sites/inframatics/cdn-cms-s.f-static.com/files/logo/faviconV1.png	(from https://inframatics.site123.me/)
11:13:55	19881/19881	---M--	200	added ('OK')	image/jpeg	etag:%22a7f3c96202b006e9f1888a35c75c285d%22	http://cdn-cms.f-static.com/uploads/1101767/800_595a9d631b574.jpg	C:/My%20Web%20Sites/inframatics/cdn-cms.f-static.com/uploads/1101767/800_595a9d631b574.jpg	(from https://inframatics.site123.me/)
11:13:56	416459/416459	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Apr%202018%2014:09:54%20GMT	http://cdn-cms-s.f-static.com/versions/2/css/minimize.css?v=n4176	C:/My%20Web%20Sites/inframatics/cdn-cms-s.f-static.com/versions/2/css/minimize8e02.css	(from https://inframatics.site123.me/)
11:13:57	61560/61560	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Apr%202018%2009:13:54%20GMT	http://cdn-cms-s.f-static.com/versions/2/css/websiteCSS.css?w=&orderScreen=&websiteID=1101767&onlyContent=&tranW=&v=n4176_4169203	C:/My%20Web%20Sites/inframatics/cdn-cms-s.f-static.com/versions/2/css/websiteCSSe6d4.css	(from https://inframatics.site123.me/)
11:14:00	17441/17441	---M--	200	added ('OK')	image/jpeg	etag:%222ccd8a98e0c6ab4733588dadd41f2ade%22	http://cdn-cms.f-static.com/admin/websitesCategories/48/400_595a9e397eeea.jpg	C:/My%20Web%20Sites/inframatics/cdn-cms.f-static.com/admin/websitesCategories/48/400_595a9e397eeea.jpg	(from https://inframatics.site123.me/)
11:14:00	15697/15697	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Apr%202018%2009:13:57%20GMT	https://inframatics.site123.me/services/advisory	C:/My%20Web%20Sites/inframatics/inframatics.site123.me/services/advisory.html	(from https://inframatics.site123.me/)
11:14:01	24361/24361	---M--	200	added ('OK')	image/jpeg	etag:%22a551a89f5724577c3887627fc978e5e8%22	http://cdn-cms.f-static.com/uploads/2031/400_5a15ab3119d59.jpg	C:/My%20Web%20Sites/inframatics/cdn-cms.f-static.com/uploads/2031/400_5a15ab3119d59.jpg	(from https://inframatics.site123.me/)
11:14:02	15845/15845	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Apr%202018%2009:13:59%20GMT	https://inframatics.site123.me/services/managed-services	C:/My%20Web%20Sites/inframatics/inframatics.site123.me/services/managed-services.html	(from https://inframatics.site123.me/)
